5 , 16/04/2012 06:14:25:588 , AdminDAO , getRoles , privilege MAKE_REQUEST
5 , 16/04/2012 06:14:25:591 , AdminDAO , getRoles , privilege ACTIVATE_MEMBER
5 , 16/04/2012 06:14:25:592 , AdminDAO , getRoles , privilege PLAN_INVESTMENT
5 , 16/04/2012 06:14:25:598 , AdminDAO , getRoles , privilege SHIFT_CGPAN_OR_BORROWER
5 , 16/04/2012 06:14:25:599 , AdminDAO , getRoles , privilege UPLOAD_DOCUMENTS
5 , 16/04/2012 06:14:25:601 , AdminDAO , getRoles , privilege GENERATE_CLDAN
5 , 16/04/2012 06:14:25:602 , AdminDAO , getRoles , privilege GENERATE_SHORT_DAN
5 , 16/04/2012 06:14:25:604 , AdminDAO , getRoles , privilege ADD_INWARD
5 , 16/04/2012 06:14:25:605 , AdminDAO , getRoles , privilege ASSIGN_COLLECTING_BANK
5 , 16/04/2012 06:14:25:606 , AdminDAO , getRoles , privilege RE_ALLOCATE_PAYMENTS
5 , 16/04/2012 06:14:25:608 , AdminDAO , getRoles , privilege DAY_END_PROCESS
5 , 16/04/2012 06:14:25:609 , AdminDAO , getRoles , privilege ADD_SSI_MEMBERS
5 , 16/04/2012 06:14:25:612 , AdminDAO , getRoles , privilege APPROVE_INELIGIBLE_APPLICATION
5 , 16/04/2012 06:14:25:617 , AdminDAO , getRoles , privilege APP_SPECIAL_MESSAGE
5 , 16/04/2012 06:14:25:618 , AdminDAO , getRoles , privilege DEACTIVATE_USER
5 , 16/04/2012 06:14:25:619 , AdminDAO , getRoles , privilege UPDATE_MASTER_TABLE
5 , 16/04/2012 06:14:25:620 , AdminDAO , getRoles , privilege TDS_DETAILS
5 , 16/04/2012 06:14:25:622 , AdminDAO , getRoles , privilege PROJECT_EXPECTED_CLAIMS
5 , 16/04/2012 06:14:25:623 , AdminDAO , getRoles , privilege FORECASTING_DETAILS
5 , 16/04/2012 06:14:25:624 , AdminDAO , getRoles , privilege DEACTIVATE_MEMBER
5 , 16/04/2012 06:14:25:625 , AdminDAO , getRoles , privilege RESET_PASSWORD
5 , 16/04/2012 06:14:25:626 , AdminDAO , getRoles , privilege SET_UPDATE_SUB_SCHEME_PARAMS
5 , 16/04/2012 06:14:25:627 , AdminDAO , getRoles , privilege RISK_CALCULATE_EXPOSUER
5 , 16/04/2012 06:14:25:632 , AdminDAO , getRoles , privilege SETTLEMENT
5 , 16/04/2012 06:14:25:633 , AdminDAO , getRoles , privilege UPDATE_RECOVERY
5 , 16/04/2012 06:14:25:634 , AdminDAO , getRoles , privilege SET_CEILING_FOR_INVESTMENT
5 , 16/04/2012 06:14:25:636 , AdminDAO , getRoles , privilege REGISTER_COLLECTING_BANK
5 , 16/04/2012 06:14:25:637 , AdminDAO , getRoles , privilege WAIVE_SHORT_AMOUNTS
5 , 16/04/2012 06:14:25:641 , AdminDAO , getRoles , privilege OTS_APPROVAL
5 , 16/04/2012 06:14:25:642 , AdminDAO , getRoles , privilege ADD_OUTWARD
5 , 16/04/2012 06:14:25:643 , AdminDAO , getRoles , privilege ADD_PARTICIPATING_BANKS
5 , 16/04/2012 06:14:25:645 , AdminDAO , getRoles , privilege GENERATE_EXPOSURE_REPORT
5 , 16/04/2012 06:14:25:646 , AdminDAO , getRoles , privilege PERIODIC_INFO_APPROVAL
5 , 16/04/2012 06:14:25:651 , AdminDAO , getRoles , privilege BROADCAST_MESSAGE
5 , 16/04/2012 06:14:25:652 , AdminDAO , getRoles , privilege ENTER_INVESTMENT_DETAILS
5 , 16/04/2012 06:14:25:654 , AdminDAO , getRoles , privilege APPLICATION_RE_APPROVAL
5 , 16/04/2012 06:14:25:655 , AdminDAO , getRoles , privilege ENTER_AUDIT_DETAILS
5 , 16/04/2012 06:14:25:656 , AdminDAO , getRoles , privilege MODIFY_COLLECTING_BANK
5 , 16/04/2012 06:14:25:657 , AdminDAO , getRoles , privilege MODIFY_USER_DETAILS
5 , 16/04/2012 06:14:25:663 , AdminDAO , getRoles , privilege APPLICATION_APPROVAL
5 , 16/04/2012 06:14:25:665 , AdminDAO , getRoles , privilege ADD_DONOR_DETAILS
4 , 16/04/2012 06:14:25:678 , AdminDAO , getPrivileges , Exited
4 , 16/04/2012 06:14:25:679 , AdminDAO , getAlerts , Entered
5 , 16/04/2012 06:14:25:699 , AdminDAO , getAlerts , error code and error 0 null
4 , 16/04/2012 06:14:25:716 , AdminDAO , getAlerts , Exited
4 , 16/04/2012 06:14:25:717 , AdminDAO , getMessage , Entered
5 , 16/04/2012 06:14:25:736 , AdminDAO , getMessage , Error code and error 0 null
5 , 16/04/2012 06:14:25:737 , AdminDAO , getMessage , message is IT IS OBSERVED THAT MLIs ARE LODGING APPLICATIONS WHERE BORROWER ACTIVITY IS TRADING/SELLING/DISTRIBUTION OF PRODUCTS, EDUCATIONAL INSTITUTIONS/TRAINING AND WHERE BORROWER CONSTITUTION IS SELF HELP GROUP OR JOINT LIABILITY GROUPS. THESE ACTIVITIES ARE NOT ELIGIBLE FOR COVERAGE UNDER CGS. MLIs MAY TAKE NOTE OF THE SAME. 
4 , 16/04/2012 06:14:25:741 , AdminDAO , getMessage , Exited
