4 , 25/10/2012 05:35:26:276 , LoginAction , getMainMenu , Entered
4 , 25/10/2012 05:35:26:279 , LoginAction , setMainMenu , Entered
4 , 25/10/2012 05:35:26:292 , BaseAction , getUserInformation , Entered
5 , 25/10/2012 05:35:26:296 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 25/10/2012 05:35:26:299 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@16a719e
4 , 25/10/2012 05:35:26:310 , BaseAction , getUserInformation , Exited
4 , 25/10/2012 05:35:26:478 , LoginAction , setMainMenu , Exited
4 , 25/10/2012 05:35:26:480 , LoginAction , getMainMenu , Exited
4 , 25/10/2012 05:35:28:476 , LoginAction , getSubMenu , Entered
4 , 25/10/2012 05:35:28:480 , LoginAction , setSubMenu , Entered
4 , 25/10/2012 05:35:28:486 , BaseAction , getUserInformation , Entered
5 , 25/10/2012 05:35:28:489 , BaseAction , getUserInformation , User id obtained from session is AVSYAM0001
5 , 25/10/2012 05:35:28:532 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@16a719e
4 , 25/10/2012 05:35:28:544 , BaseAction , getUserInformation , Exited
4 , 25/10/2012 05:35:28:545 , LoginAction , setSubMenu , Exited
4 , 25/10/2012 05:35:28:548 , LoginAction , getSubMenu , Exited
4 , 25/10/2012 05:52:50:366 , LoginAction , login , Entered
4 , 25/10/2012 05:52:50:690 , Registration , updateLoginInformation , Entered
4 , 25/10/2012 05:52:50:803 , Registration , updateLoginInformation , Exited
4 , 25/10/2012 05:52:50:909 , Login , login , Entered
5 , 25/10/2012 05:52:50:913 , Login , login , User id is AVSYAM0001
4 , 25/10/2012 05:52:50:937 , AdminDAO , getParameter , Entered
5 , 25/10/2012 05:52:50:971 , AdminDAO , getParameter , Error Code and Error are 0 null
4 , 25/10/2012 05:52:51:009 , AdminDAO , getParameter , Exited
5 , 25/10/2012 05:52:51:012 , Login , login , Before getting user info
4 , 25/10/2012 05:52:51:043 , AdminDAO , getUserInfo , Entered
5 , 25/10/2012 05:52:51:086 , AdminDAO , getUserInfo , Function executed without error
5 , 25/10/2012 05:52:51:141 , AdminDAO , getUserInfo , Active user
5 , 25/10/2012 05:52:51:145 , AdminDAO , getUserInfo , not first log in
4 , 25/10/2012 05:52:51:157 , AdminDAO , getUserInfo , Exited
5 , 25/10/2012 05:52:51:161 , Login , login , After getting user info
4 , 25/10/2012 05:52:51:164 , AdminDAO , checkValidUserLogin() , Entered!
4 , 25/10/2012 05:52:51:188 , AdminDAO , checkValidUserLogin() , Exited!
5 , 25/10/2012 05:52:51:191 , Login , login , Verify password AVSYAM0001
5 , 25/10/2012 05:52:51:413 , Login , login , firstLogin,passwordReset false false
5 , 25/10/2012 05:52:51:414 , Login , login , last pwd change date, pwd expiry days2012-10-22 15
5 , 25/10/2012 05:52:51:417 , Login , login , addedDate Tue Nov 06 00:00:00 GMT 2012
5 , 25/10/2012 05:52:51:419 , Login , login , pwdChangeExpiry false
4 , 25/10/2012 05:52:51:439 , CommonDAO , updateLastLoginDate , Entered
2 , 25/10/2012 05:52:51:476 , CommonDAO , updateLastLoginDate , Error code and errors are: 0 null
4 , 25/10/2012 05:52:51:483 , CommonDAO , updateLastLoginDate , Exited
4 , 25/10/2012 05:52:51:484 , Login , login , Exited
4 , 25/10/2012 05:52:51:486 , AdminDAO , getPrivileges , Entered
5 , 25/10/2012 05:52:51:510 , AdminDAO , getRoles , privilege APPLICATION_APPROVAL
5 , 25/10/2012 05:52:51:511 , AdminDAO , getRoles , privilege CLAIM_APPROVAL
5 , 25/10/2012 05:52:51:523 , AdminDAO , getRoles , privilege RECEIVE_SUCCESS_FAILURE_MESSAGE
5 , 25/10/2012 05:52:51:524 , AdminDAO , getRoles , privilege ADD_APPLICATION
5 , 25/10/2012 05:52:51:526 , AdminDAO , getRoles , privilege MODIFY_APPLICATION
5 , 25/10/2012 05:52:51:527 , AdminDAO , getRoles , privilege APPROVE_INELIGIBLE_APPLICATION
5 , 25/10/2012 05:52:51:529 , AdminDAO , getRoles , privilege APPROVE_DUPLICATE_APPLICATION
5 , 25/10/2012 05:52:51:531 , AdminDAO , getRoles , privilege APPLICATION_RE_APPROVAL
5 , 25/10/2012 05:52:51:532 , AdminDAO , getRoles , privilege FILE_UPLOAD
5 , 25/10/2012 05:52:51:534 , AdminDAO , getRoles , privilege MODIFY_BORROWER_DETAILS
5 , 25/10/2012 05:52:51:558 , AdminDAO , getRoles , privilege PERIODIC_INFO
5 , 25/10/2012 05:52:51:569 , AdminDAO , getRoles , privilege UPDATE_REPAYMENT_SCHEDULE
5 , 25/10/2012 05:52:51:571 , AdminDAO , getRoles , privilege SHIFT_CGPAN_OR_BORROWER
5 , 25/10/2012 05:52:51:573 , AdminDAO , getRoles , privilege EXPORT_PERIDIC_INFO
5 , 25/10/2012 05:52:51:575 , AdminDAO , getRoles , privilege APPLICATION_CLOSURE
5 , 25/10/2012 05:52:51:576 , AdminDAO , getRoles , privilege ALLOCATE_PAYMENTS
5 , 25/10/2012 05:52:51:578 , AdminDAO , getRoles , privilege VIEW_PENDING_PAYMENTS
