4 , 06/11/2008 15:54:49:591 , RpDAO , getServiceFeeCount , Before executing Service Fee Count
4 , 06/11/2008 15:54:49:591 , RpDAO , getServiceFeeCount , Service Fee Count = 0
4 , 06/11/2008 15:54:49:591 , RpProcessor , isServiceFeeCalculated , Service fee count for CGPAN = CG200201681TC as on Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:591 , RpProcessor , isServiceFeeCalculated , Return value = false
4 , 06/11/2008 15:54:49:591 , RpDAO , calculateServiceFee , Service Fee Rate = 0.0
4 , 06/11/2008 15:54:49:591 , RpDAO , calculateServiceFee , Before calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:591 , RpDAO , getAmountOutstanding , Entering
4 , 06/11/2008 15:54:49:591 , RpDAO , getAmountOutstanding , CGPAN = CG200201681TC
4 , 06/11/2008 15:54:49:591 , RpDAO , getAmountOutstanding , Before executing outstanding details
4 , 06/11/2008 15:54:49:622 , RpDAO , getAmountOutstanding , After executing outstanding details
4 , 06/11/2008 15:54:49:622 , RpDAO , getAmountOutstanding , Outstanding amount = 80000.0
4 , 06/11/2008 15:54:49:622 , RpDAO , calculateServiceFee , After calling procedure to get outstanding amount
4 , 06/11/2008 15:54:49:622 , RpDAO , calculateServiceFee , Amount Outstanding = 80000.0
4 , 06/11/2008 15:54:49:622 , RpDAO , calculateServiceFee , After getting approved amount
4 , 06/11/2008 15:54:49:622 , RpDAO , calculateServiceFee , After getting approved amount:80000.0
4 , 06/11/2008 15:54:49:622 , RpDAO , getCardRate , card rate :0.5
4 , 06/11/2008 15:54:49:622 , RpDAO , getServiceCardRate , Exited
4 , 06/11/2008 15:54:49:622 , RpDAO , getServiceRateForRSF , Entered
4 , 06/11/2008 15:54:49:637 , RpDAO , getCardRate , card rate :0.0
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceRateForRSF , Exited
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:637 , RpDAO , getGuarStartDate , Exited
4 , 06/11/2008 15:54:49:637 , RpDAO , getGuarStartDate , application.getAppRefNo() :null
4 , 06/11/2008 15:54:49:637 , RpDAO , getGuarStartDate , application.getCgpan() :CG200201681TC
4 , 06/11/2008 15:54:49:637 , RpDAO , updateIdForExcess , Exited
