4 , 09/08/2012 06:44:12:071 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:12:074 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:12:076 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:12:078 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:12:080 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:44:12:081 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:44:12:446 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:44:12:449 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:44:12:451 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:12:454 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:12:456 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:12:458 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:12:462 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:44:12:464 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:44:13:647 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:44:13:649 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:44:13:651 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:13:653 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:13:654 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:13:656 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:13:658 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:44:13:661 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:44:15:243 , ApplicationProcessingAction , getTCMliInfo , Entered
4 , 09/08/2012 06:44:15:267 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:15:269 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:15:270 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:15:272 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:15:274 , ApplicationProcessingAction , getTCMliInfo , Exited
4 , 09/08/2012 06:44:17:194 , LoginAction , getSubMenu , Entered
4 , 09/08/2012 06:44:17:197 , LoginAction , setSubMenu , Entered
4 , 09/08/2012 06:44:17:199 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:17:201 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:17:203 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:17:205 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:17:208 , LoginAction , setSubMenu , Exited
4 , 09/08/2012 06:44:17:210 , LoginAction , getSubMenu , Exited
4 , 09/08/2012 06:44:17:741 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:44:17:746 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:44:17:747 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:17:748 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:17:750 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
4 , 09/08/2012 06:44:17:752 , BaseAction , getUserInformation , Exited
4 , 09/08/2012 06:44:17:753 , LoginAction , setMainMenu , Exited
4 , 09/08/2012 06:44:17:754 , LoginAction , getMainMenu , Exited
4 , 09/08/2012 06:44:24:570 , LoginAction , getMainMenu , Entered
4 , 09/08/2012 06:44:24:572 , LoginAction , setMainMenu , Entered
4 , 09/08/2012 06:44:24:573 , BaseAction , getUserInformation , Entered
5 , 09/08/2012 06:44:24:574 , BaseAction , getUserInformation , User id obtained from session is PRAKUMA0001
5 , 09/08/2012 06:44:24:575 , BaseAction , getUserInformation , User info is com.cgtsi.admin.User@d1e832
