4 , 13/11/2008 17:16:00:870 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Oustanding Amount :315000.0
4 , 13/11/2008 17:16:00:870 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Approved Application Amount :315000.0
4 , 13/11/2008 17:16:00:870 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Claim Applied Amount :339777.0
4 , 13/11/2008 17:16:00:870 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Recovered Amount :1051.0
4 , 13/11/2008 17:16:00:870 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL05TN010006601Default Amount :315000.0
4 , 13/11/2008 17:16:00:870 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 13/11/2008 17:16:00:870 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 13/11/2008 17:16:00:885 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 13/11/2008 17:16:00:885 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Oustanding Amount :2479782.0
4 , 13/11/2008 17:16:00:885 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Approved Application Amount :2479782.0
4 , 13/11/2008 17:16:00:885 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Claim Applied Amount :2479782.0
4 , 13/11/2008 17:16:00:885 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Recovered Amount :0.0
4 , 13/11/2008 17:16:00:901 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL06AS040001601Default Amount :2479782.0
4 , 13/11/2008 17:16:00:901 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 13/11/2008 17:16:00:901 , CPDAO , isRecoveryDetailsAvailable() , Entered!
4 , 13/11/2008 17:16:00:948 , CPDAO , isRecoveryDetailsAvailable() , Exited!
4 , 13/11/2008 17:16:00:948 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Oustanding Amount :125000.0
4 , 13/11/2008 17:16:00:948 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Approved Application Amount :300000.0
4 , 13/11/2008 17:16:00:948 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Claim Applied Amount :185000.0
4 , 13/11/2008 17:16:00:948 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Recovered Amount :0.0
4 , 13/11/2008 17:16:00:948 , ClaimsProcessor , getClaimProcessingDetails() , Claim Ref Number :CL08KE060300501Default Amount :125000.0
4 , 13/11/2008 17:16:00:948 , ClaimsProcessor , getClaimProcessingDetails() , pm.getCgtsiLiability() :0.75
4 , 13/11/2008 17:16:00:948 , ClaimsProcessor , getClaimProcessingDetails() , Exited
4 , 13/11/2008 17:16:00:948 , ClaimAction , displayClaimApproval() , ##################
4 , 13/11/2008 17:16:00:948 , ClaimAction , displayClaimApproval() , memId :000400100000
4 , 13/11/2008 17:16:00:948 , ClaimAction , displayClaimApproval() , claimrefnumber :CL05TN010006601
4 , 13/11/2008 17:16:00:948 , ClaimAction , displayClaimApproval() , clmStatus :FW
4 , 13/11/2008 17:16:00:948 , ClaimAction , displayClaimApproval() , forwardedToUser :RSUKU0001
4 , 13/11/2008 17:16:00:948 , ClaimAction , displayClaimApproval() , ###################
4 , 13/11/2008 17:16:00:948 , ClaimAction , displayClaimApproval() , loggedUsr :ADMIN
